doc_id,canonical_url,archive_url,wayback_timestamp,title,category,status,error,char_count
cb_help_f1828175b4c3,https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/verification-link-issues,https://web.archive.org/web/20230531014929id_/https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/verification-link-issues,20230531014929,"The link in my verification email is missing, expired, or invalid | Coinbase Help",Managing My Account,ok,,1137
cb_help_99fb51b53fad,https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/what-type-of-photo-id-can-i-provide,https://web.archive.org/web/20220429143627id_/https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/what-type-of-photo-id-can-i-provide,20220429143627,What type of photo ID can I provide? | Coinbase Help,Managing My Account,ok,,846
cb_help_9e2dbf69f97a,https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/why-isnt-my-authy-device-recognized,https://web.archive.org/web/20230602180251id_/https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/why-isnt-my-authy-device-recognized,20230602180251,Why isn't my authy device recognized? | Coinbase Help,Managing My Account,ok,,928
cb_help_e6e60e603966,https://help.coinbase.com/en/coinbase/privacy-and-security/avoiding-phishing-and-scams/avoiding-cryptocurrency-scams,https://web.archive.org/web/20211120145423id_/https://help.coinbase.com/en/coinbase/privacy-and-security/avoiding-phishing-and-scams/avoiding-cryptocurrency-scams,20211120145423,Avoiding cryptocurrency scams | Coinbase Help,Privacy And Security,ok,,9269
cb_help_880469473c78,https://help.coinbase.com/en/coinbase/trading-and-funding/depositing-or-withdrawing-fiat-money/how-long-do-international-deposits-and-withdrawals-take,https://web.archive.org/web/20231207001226id_/https://help.coinbase.com/en/coinbase/trading-and-funding/depositing-or-withdrawing-fiat-money/how-long-do-international-deposits-and-withdrawals-take,20231207001226,How long do international deposits and withdrawals take? | Coinbase Help,Trading And Funding,ok,,1098
cb_help_1e4d1cd79235,https://help.coinbase.com/en/coinbase/trading-and-funding/sending-or-receiving-cryptocurrency/money-left-my-bank-account-where-is-my-digital-currency,https://web.archive.org/web/20231205120156id_/https://help.coinbase.com/en/coinbase/trading-and-funding/sending-or-receiving-cryptocurrency/money-left-my-bank-account-where-is-my-digital-currency,20231205120156,Money left my bank account where is my digital currency? | Coinbase Help,Trading And Funding,ok,,1052
cb_help_cfb0121f88dc,https://help.coinbase.com/en/coinbase/trading-and-funding/sending-or-receiving-cryptocurrency/unsupported-crypto-recovery,https://web.archive.org/web/20220626043625id_/https://help.coinbase.com/en/coinbase/trading-and-funding/sending-or-receiving-cryptocurrency/unsupported-crypto-recovery,20220626043625,Unsupported Crypto Recovery | Coinbase Help,Trading And Funding,ok,,4014
cb_help_eca663bbb814,https://help.coinbase.com/en/coinbase/trading-and-funding/sending-or-receiving-cryptocurrency/when-will-i-receive-my-cryptocurrency-from-my-card-purchase,https://web.archive.org/web/20230530180121id_/https://help.coinbase.com/en/coinbase/trading-and-funding/sending-or-receiving-cryptocurrency/when-will-i-receive-my-cryptocurrency-from-my-card-purchase,20230530180121,When will I receive my cryptocurrency from my card purchase? | Coinbase Help,Trading And Funding,ok,,896
cb_help_220eccafdbf3,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/how-do-i-add-a-payment-method-when-using-the-mobile-app,https://web.archive.org/web/20230602194712id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/how-do-i-add-a-payment-method-when-using-the-mobile-app,20230602194712,Add a payment method on the Coinbase mobile app | Coinbase Help,Getting Started,ok,,1429
cb_help_5b5f74dc0ec5,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/payment-methods-for-australian-customers,https://web.archive.org/web/20220626055812id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/payment-methods-for-australian-customers,20220626055812,Payment methods for Australian customers | Coinbase Help,Getting Started,ok,,1526
cb_help_5c88c2dbe065,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/payment-methods-for-canadian-customers,https://web.archive.org/web/20230531002846id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/payment-methods-for-canadian-customers,20230531002846,Payment methods for Canadian customers | Coinbase Help,Getting Started,ok,,4250
